,lat,lon,value,year
2640959,47.5625,7.583333333333333,2.0,2099
2663179,47.5625,7.583333333333333,8.0,1981
2685399,47.5625,7.583333333333333,3.0,1982
2707619,47.5625,7.583333333333333,5.0,1983
2729839,47.5625,7.583333333333333,3.0,1984
2752059,47.5625,7.583333333333333,23.0,1985
2774279,47.5625,7.583333333333333,26.0,1986
2796499,47.5625,7.583333333333333,12.0,1987
2818719,47.5625,7.583333333333333,16.0,1988
2840939,47.5625,7.583333333333333,3.0,1989
2863159,47.5625,7.583333333333333,9.0,1990
2885379,47.5625,7.583333333333333,25.0,1991
2907599,47.5625,7.583333333333333,11.0,1992
2929819,47.5625,7.583333333333333,4.0,1993
2952039,47.5625,7.583333333333333,3.0,1994
2974259,47.5625,7.583333333333333,24.0,1995
2996479,47.5625,7.583333333333333,8.0,1996
3018699,47.5625,7.583333333333333,8.0,1997
3040919,47.5625,7.583333333333333,13.0,1998
3063139,47.5625,7.583333333333333,22.0,1999
3085359,47.5625,7.583333333333333,22.0,2000
3107579,47.5625,7.583333333333333,13.0,2001
3129799,47.5625,7.583333333333333,9.0,2002
3152019,47.5625,7.583333333333333,7.0,2003
3174239,47.5625,7.583333333333333,17.0,2004
3196459,47.5625,7.583333333333333,27.0,2005
3218679,47.5625,7.583333333333333,5.0,2006
3240899,47.5625,7.583333333333333,15.0,2007
3263119,47.5625,7.583333333333333,17.0,2008
3285339,47.5625,7.583333333333333,10.0,2009
3307559,47.5625,7.583333333333333,17.0,2010
3329779,47.5625,7.583333333333333,9.0,2011
3351999,47.5625,7.583333333333333,18.0,2012
3374219,47.5625,7.583333333333333,7.0,2013
3396439,47.5625,7.583333333333333,19.0,2014
3418659,47.5625,7.583333333333333,20.0,2015
3440879,47.5625,7.583333333333333,26.0,2016
3463099,47.5625,7.583333333333333,18.0,2017
3485319,47.5625,7.583333333333333,25.0,2018
3507539,47.5625,7.583333333333333,17.0,2019
3529759,47.5625,7.583333333333333,41.0,2020
3551979,47.5625,7.583333333333333,16.0,2021
3574199,47.5625,7.583333333333333,7.0,2022
3596419,47.5625,7.583333333333333,13.0,2023
