,lat,lon,value,year
12612,46.958333333333336,7.4375,0.0,1981
34832,46.958333333333336,7.4375,0.0,1982
57052,46.958333333333336,7.4375,0.0,1983
79272,46.958333333333336,7.4375,0.0,1984
101492,46.958333333333336,7.4375,0.0,1985
123712,46.958333333333336,7.4375,0.0,1986
145932,46.958333333333336,7.4375,0.0,1987
168152,46.958333333333336,7.4375,0.0,1988
190372,46.958333333333336,7.4375,0.0,1989
212592,46.958333333333336,7.4375,0.0,1990
234812,46.958333333333336,7.4375,0.0,1991
257032,46.958333333333336,7.4375,0.0,1992
279252,46.958333333333336,7.4375,0.0,1993
301472,46.958333333333336,7.4375,0.0,1994
323692,46.958333333333336,7.4375,0.0,1995
345912,46.958333333333336,7.4375,0.0,1996
368132,46.958333333333336,7.4375,0.0,1997
390352,46.958333333333336,7.4375,0.0,1998
412572,46.958333333333336,7.4375,0.0,1999
434792,46.958333333333336,7.4375,0.0,2000
457012,46.958333333333336,7.4375,0.0,2001
479232,46.958333333333336,7.4375,0.0,2002
501452,46.958333333333336,7.4375,0.0,2003
523672,46.958333333333336,7.4375,0.0,2004
545892,46.958333333333336,7.4375,0.0,2005
568112,46.958333333333336,7.4375,0.0,2006
590332,46.958333333333336,7.4375,0.0,2007
612552,46.958333333333336,7.4375,0.0,2008
634772,46.958333333333336,7.4375,0.0,2009
656992,46.958333333333336,7.4375,0.0,2010
679212,46.958333333333336,7.4375,0.0,2011
701432,46.958333333333336,7.4375,0.0,2012
723652,46.958333333333336,7.4375,0.0,2013
745872,46.958333333333336,7.4375,0.0,2014
768092,46.958333333333336,7.4375,0.0,2015
790312,46.958333333333336,7.4375,0.0,2016
812532,46.958333333333336,7.4375,0.0,2017
834752,46.958333333333336,7.4375,0.0,2018
856972,46.958333333333336,7.4375,0.0,2019
879192,46.958333333333336,7.4375,0.0,2020
901412,46.958333333333336,7.4375,0.0,2021
923632,46.958333333333336,7.4375,0.0,2022
945852,46.958333333333336,7.4375,0.0,2023
968072,46.958333333333336,7.4375,0.0,2024
990292,46.958333333333336,7.4375,3.0,2025
1012512,46.958333333333336,7.4375,0.0,2026
1034732,46.958333333333336,7.4375,0.0,2027
1056952,46.958333333333336,7.4375,0.0,2028
1079172,46.958333333333336,7.4375,0.0,2029
1101392,46.958333333333336,7.4375,0.0,2030
1123612,46.958333333333336,7.4375,0.0,2031
1145832,46.958333333333336,7.4375,0.0,2032
1168052,46.958333333333336,7.4375,3.0,2033
1190272,46.958333333333336,7.4375,0.0,2034
1212492,46.958333333333336,7.4375,0.0,2035
1234712,46.958333333333336,7.4375,0.0,2036
1256932,46.958333333333336,7.4375,0.0,2037
1279152,46.958333333333336,7.4375,0.0,2038
1301372,46.958333333333336,7.4375,0.0,2039
1323592,46.958333333333336,7.4375,0.0,2040
1345812,46.958333333333336,7.4375,0.0,2041
1368032,46.958333333333336,7.4375,0.0,2042
1390252,46.958333333333336,7.4375,0.0,2043
1412472,46.958333333333336,7.4375,0.0,2044
1434692,46.958333333333336,7.4375,0.0,2045
1456912,46.958333333333336,7.4375,0.0,2046
