,lat,lon,value,year
2750125,47.375,8.541666666666666,12.0,1985
2772345,47.375,8.541666666666666,19.0,1986
2794565,47.375,8.541666666666666,10.0,1987
2816785,47.375,8.541666666666666,8.0,1988
2839005,47.375,8.541666666666666,3.0,1989
2861225,47.375,8.541666666666666,7.0,1990
2883445,47.375,8.541666666666666,20.0,1991
2905665,47.375,8.541666666666666,8.0,1992
2927885,47.375,8.541666666666666,5.0,1993
2950105,47.375,8.541666666666666,5.0,1994
2972325,47.375,8.541666666666666,21.0,1995
2994545,47.375,8.541666666666666,2.0,1996
3016765,47.375,8.541666666666666,8.0,1997
3038985,47.375,8.541666666666666,8.0,1998
3061205,47.375,8.541666666666666,13.0,1999
3083425,47.375,8.541666666666666,17.0,2000
3105645,47.375,8.541666666666666,8.0,2001
3127865,47.375,8.541666666666666,5.0,2002
3150085,47.375,8.541666666666666,4.0,2003
3172305,47.375,8.541666666666666,10.0,2004
3194525,47.375,8.541666666666666,23.0,2005
3216745,47.375,8.541666666666666,5.0,2006
3238965,47.375,8.541666666666666,13.0,2007
3261185,47.375,8.541666666666666,16.0,2008
3283405,47.375,8.541666666666666,4.0,2009
3305625,47.375,8.541666666666666,12.0,2010
3327845,47.375,8.541666666666666,8.0,2011
3350065,47.375,8.541666666666666,11.0,2012
3372285,47.375,8.541666666666666,5.0,2013
3394505,47.375,8.541666666666666,15.0,2014
3416725,47.375,8.541666666666666,22.0,2015
3438945,47.375,8.541666666666666,25.0,2016
3461165,47.375,8.541666666666666,13.0,2017
3483385,47.375,8.541666666666666,16.0,2018
3505605,47.375,8.541666666666666,13.0,2019
3527825,47.375,8.541666666666666,41.0,2020
3550045,47.375,8.541666666666666,13.0,2021
3572265,47.375,8.541666666666666,1.0,2022
3594485,47.375,8.541666666666666,11.0,2023
3616705,47.375,8.541666666666666,13.0,2024
3638925,47.375,8.541666666666666,16.0,2025
3661145,47.375,8.541666666666666,35.0,2026
3683365,47.375,8.541666666666666,20.0,2027
3705585,47.375,8.541666666666666,1.0,2028
3727805,47.375,8.541666666666666,10.0,2029
